Setting,Pipeline,Scene,Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
Single Object,Geometric-Only,92,154.94210526315788,48.594552090732485,27.33157894736842,5.0699396938252965,0.353439131830319,0.06613803466956562,0.40785257313648493,0.08540984254408647,0.0027622517971315408,0.0001946361727330014,0.0025070847113566716,0.00022831956740610633
Single Object,Geometric-Only,93,166.78048780487805,64.53640473475113,23.378048780487806,7.542489564478285,0.5239166896357591,0.14947121920252693,0.6624645667318331,0.22825313717019355,0.0027069929635824544,0.00017230070093077784,0.0022420281189727198,0.0003673608074606222
Single Object,Geometric-Only,94,172.27058823529413,75.97011247727686,23.4078431372549,7.753481390709894,0.5093399234270202,0.11485344867919335,0.6620086842142483,0.20190451603917647,0.002756709581324864,0.00015641070813025385,0.0023258318689960084,0.00036111927287082297
Single Object,Geometric-Only,95,147.3231441048035,48.1388747297513,25.4235807860262,6.469873728992156,0.3827949182748739,0.09655632318432933,0.47302911911311013,0.15794202842320448,0.002741980363517852,0.00017779670303671226,0.0024200494051104305,0.0002287508607571834
Single Object,Geometric-Only,96,128.19322709163347,84.66171096391537,27.669322709163346,5.312416737818084,0.576623886273749,0.15896677688285615,0.6732040889014942,0.13070077989552795,0.0026447136301605218,0.00022148442269176222,0.0022479402112072517,0.0001688606040753939
Single Object,Geometric-Only,97,117.90285714285714,92.58541626052275,28.605714285714285,4.077188118714015,0.441723206705647,0.16224253875771144,0.5201449930590621,0.16166557296321063,0.0027291052561058777,0.0002462932315861119,0.002404474855900913,0.0002529868721880411
Single Object,Geometric-Only,98,162.3765182186235,146.26019471834894,26.718623481781375,6.439276140130913,0.5960254246639438,0.2005124036019288,0.7159348552709565,0.1710601743162327,0.002632315447503184,0.0002429996092662288,0.002146489947612354,0.00022690555956460367
Single Object,Geometric-Only,99,171.64253393665157,112.84582543577389,27.081447963800905,5.8241556322227375,0.593075545114856,0.18727939572859162,0.6944804920318824,0.17303915926257413,0.002614300810684097,0.0002313652372528237,0.002241143976579424,0.00023510542170998778
Single Object,Geometric-Only,TOTAL,151.34121122599706,100.39606590065775,26.516248153618907,6.275131521477161,0.5222388927024176,0.17977048960309808,0.6271143099130964,0.1937890087038464,0.0026810710592120707,0.00022303744224198821,0.0022880898486518815,0.0002750326311743264
Single Object,Geometric-Only,Inter-Scene STD,,20.28046136262349,,1.9506447642753073,,0.09483913262771779,,0.11642401365937236,,5.941964092238997e-05,,0.00011934282363910279
