Setting,Pipeline,Object,Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
Single Object,Geometric-Only,49,161.0141304347826,62.16486921423205,24.71195652173913,7.067271073997605,0.449542018974993,0.13530415037856355,0.5626023424603246,0.212620189460793,0.002740894083673592,0.0001754466365298287,0.0023643081008579646,0.0003242312672544232
Single Object,Geometric-Only,62,68.48905109489051,39.328923094719016,29.66301703163017,1.9654927254482426,0.43025276307216953,0.1361567623385444,0.5374013864524033,0.1448157636875351,0.0026678103380836605,0.00023585644732153322,0.002271938152134103,0.00024075992905703313
Single Object,Geometric-Only,71,212.6304347826087,116.53982425562072,25.556935817805382,6.866481517115728,0.6697479220867801,0.1530425068655485,0.7648938473263879,0.12093552635307808,0.0026353807178693734,0.00023927551005337394,0.002229245027231611,0.00023137635524910478
Single Object,Geometric-Only,TOTAL,151.34121122599706,100.39606590065775,26.516248153618907,6.275131521477161,0.5222388927024176,0.17977048960309808,0.6271143099130964,0.1937890087038464,0.0026810710592120707,0.00022303744224198821,0.0022880898486518815,0.0002750326311743264
Single Object,Geometric-Only,Inter-Object STD,,73.03181004739272,,2.6484867729173196,,0.13305427861715935,,0.12470616188945322,,5.404625256825803e-05,,6.903736210510273e-05
