Setting,Scene,Image,Object,RANSAC Iterations,ICP Iterations,RANSAC: Fitness,ICP: Fitness,RANSAC: Inlier RMSE,ICP: Inlier RMSE,RANSAC: Transformation,ICP: Transformation
single_object,90,0,12,11,30,0.9779185473943373,0.9896389002872384,0.001957442514356941,0.0013744054536740766,"[[ 0.69825763  0.34136357 -0.62921157  0.04691675]
 [ 0.07022983  0.84206776  0.53478001  0.06045877]
 [ 0.71239319 -0.41760364  0.56400633 -0.45357784]
 [ 0.          0.          0.          1.        ]]","[[ 0.30284764  0.58716021 -0.75068382  0.04612909]
 [ 0.32898174  0.67485029  0.6605665   0.05960744]
 [ 0.89445756 -0.44701227  0.01121183 -0.45352085]
 [ 0.          0.          0.          1.        ]]"
single_object,90,1,12,2,30,0.8702297907263028,0.8648184242921625,0.0023488128434736165,0.0016604061365782556,"[[ 0.53434889 -0.25388057 -0.80623564 -0.04656511]
 [ 0.74339614  0.59510643  0.30530397  0.04574129]
 [ 0.40228527 -0.76249131  0.5067283  -0.44191587]
 [ 0.          0.          0.          1.        ]]","[[ 0.26300184  0.28917206 -0.92043987 -0.05186141]
 [ 0.17041718  0.92510143  0.33933072  0.04611399]
 [ 0.9496252  -0.24610337  0.19402349 -0.44390737]
 [ 0.          0.          0.          1.        ]]"
single_object,90,2,12,8,23,0.8306575707837505,0.9557345096430037,0.0017728521116329825,0.0018963963664714906,"[[-0.39976158 -0.83980367 -0.36731522 -0.04775014]
 [ 0.71182587 -0.03196206 -0.70162836  0.05282206]
 [ 0.57748992 -0.54194853  0.61057119 -0.43985649]
 [ 0.          0.          0.          1.        ]]","[[-0.51486232 -0.77092698 -0.37495117 -0.04962999]
 [ 0.73403206 -0.17050477 -0.6573622   0.04992356]
 [ 0.4428473  -0.61367721  0.6536716  -0.44076643]
 [ 0.          0.          0.          1.        ]]"
single_object,90,3,12,18,30,0.9492203528929011,0.8910032827246614,0.001934325350615316,0.0017334852757870543,"[[ 0.40463317 -0.12416062 -0.90601111 -0.04532308]
 [ 0.73938464  0.62742359  0.24423348  0.05354953]
 [ 0.53812856 -0.76871567  0.34567886 -0.43825138]
 [ 0.          0.          0.          1.        ]]","[[ 0.19423707  0.23967201 -0.95122515 -0.04920148]
 [ 0.44788866  0.84104868  0.30336919  0.05322895]
 [ 0.87273576 -0.4849685   0.05601646 -0.43805412]
 [ 0.          0.          0.          1.        ]]"
single_object,90,4,12,3,30,0.7694911776774723,0.8579965121050472,0.0027245319699653364,0.0016222430381611136,"[[ 0.78986338 -0.13958404 -0.59718686 -0.04098283]
 [ 0.48311644  0.74143989  0.46568809  0.05256128]
 [ 0.37777553 -0.65634076  0.65307156 -0.43268485]
 [ 0.          0.          0.          1.        ]]","[[ 0.68974178  0.53982742 -0.4825377  -0.04653591]
 [-0.21735742  0.79007344  0.57318384  0.05600361]
 [ 0.69066058 -0.29046569  0.66228215 -0.43442089]
 [ 0.          0.          0.          1.        ]]"
single_object,90,5,12,18,30,0.9426549035699631,0.9289084940500616,0.001996721358036039,0.001894384018866022,"[[ 0.67281978  0.04075728 -0.73868288 -0.04375911]
 [ 0.55545732  0.63167976  0.54078447  0.05849454]
 [ 0.48865193 -0.7741573   0.40236771 -0.43245911]
 [ 0.          0.          0.          1.        ]]","[[ 0.33051165  0.75708324 -0.5635486  -0.04725811]
 [ 0.40279859  0.42684357  0.80966528  0.05990901]
 [ 0.8535311  -0.49460039 -0.16387529 -0.43232834]
 [ 0.          0.          0.          1.        ]]"
single_object,90,6,12,15,30,0.48804883052933934,0.9679421419778416,0.00262470691297346,0.0018011493175607355,"[[-0.02890112 -0.47954881  0.87703915 -0.03660685]
 [ 0.11985031 -0.87273845 -0.47324783  0.06823455]
 [ 0.99237122  0.09143602  0.08269719 -0.43125494]
 [ 0.          0.          0.          1.        ]]","[[-0.46372937 -0.34271381  0.81700814 -0.04390311]
 [-0.18275991 -0.86531961 -0.46671275  0.05988595]
 [ 0.86692207 -0.36574475  0.33863977 -0.42806099]
 [ 0.          0.          0.          1.        ]]"
single_object,90,7,12,5,30,0.8272722609766106,0.8639720968403776,0.0022479164897105234,0.0019568605832059314,"[[ 0.94597202  0.24449002  0.21298257 -0.03687816]
 [-0.15690993 -0.22964689  0.96054234  0.0654773 ]
 [ 0.2837538  -0.94206525 -0.17887661 -0.42479757]
 [ 0.          0.          0.          1.        ]]","[[ 0.39427294  0.86392835 -0.31333152 -0.04538168]
 [ 0.08686009  0.30439203  0.94857831  0.06298793]
 [ 0.91487932 -0.40121477  0.04497265 -0.4255088 ]
 [ 0.          0.          0.          1.        ]]"
single_object,90,8,12,10,30,0.935345711940911,0.8502769798933114,0.0022910440690184575,0.0017574606797342805,"[[ 0.82266057  0.56371636 -0.07384751 -0.03881024]
 [ 0.04160705  0.06984819  0.99668956  0.06580628]
 [ 0.56700833 -0.82300978  0.03400677 -0.42356205]
 [ 0.          0.          0.          1.        ]]","[[ 0.58378818  0.753553   -0.30224036 -0.0433782 ]
 [ 0.07149784  0.32309955  0.94366029  0.06363333]
 [ 0.80875177 -0.57250725  0.13474429 -0.42201771]
 [ 0.          0.          0.          1.        ]]"
single_object,90,9,12,9,30,0.9113407878539187,0.8553292983176036,0.0023163141351904455,0.0016567279245535114,"[[ 0.16046587 -0.24348945 -0.95653729 -0.04298185]
 [ 0.63034442  0.77102004 -0.09052076  0.0645677 ]
 [ 0.75955027 -0.58842245  0.27720462 -0.42153226]
 [ 0.          0.          0.          1.        ]]","[[-0.36674864 -0.63346171 -0.68133817 -0.04170958]
 [-0.03470183  0.74117482 -0.67041455  0.06166488]
 [ 0.92967264 -0.22222995 -0.29380714 -0.42034161]
 [ 0.          0.          0.          1.        ]]"
single_object,90,10,12,6,30,0.8507386130488306,0.8843608945424702,0.0019346825923735047,0.0017407991744298145,"[[ 0.8372954  -0.0226581  -0.54628109 -0.03792546]
 [ 0.16326262  0.96391806  0.21025528  0.06473237]
 [ 0.52180623 -0.26523306  0.81078338 -0.41583083]
 [ 0.          0.          0.          1.        ]]","[[ 0.02648214 -0.44093024 -0.89715061 -0.04112368]
 [ 0.34269444  0.84708608 -0.40620893  0.06306079]
 [ 0.93907359 -0.29669125  0.173537   -0.41656887]
 [ 0.          0.          0.          1.        ]]"
single_object,90,11,12,25,30,0.950169265490357,0.7889054164956915,0.0019929466854140174,0.0016422054117220103,"[[ 0.91084679  0.40666662 -0.0705718  -0.03753039]
 [-0.01702529  0.20785446  0.97801159  0.06555816]
 [ 0.41239333 -0.88961721  0.19624719 -0.41452598]
 [ 0.          0.          0.          1.        ]]","[[ 0.78519336  0.57731553 -0.22400483 -0.04022193]
 [-0.29707219  0.6685639   0.68174073  0.06385387]
 [ 0.54334105 -0.46875269  0.69645633 -0.41214539]
 [ 0.          0.          0.          1.        ]]"
single_object,90,12,12,4,30,0.8793598686910136,0.8375307755437013,0.0021459054923333317,0.0017364663235160305,"[[ 0.74171054 -0.14137923 -0.65565035 -0.03641422]
 [ 0.40607565  0.87266971  0.2712013   0.06283138]
 [ 0.53382397 -0.46739651  0.70467899 -0.40951024]
 [ 0.          0.          0.          1.        ]]","[[ 0.56387341  0.18825504 -0.80411866 -0.04018701]
 [ 0.18049591  0.92204208  0.34243193  0.06389352]
 [ 0.80589578 -0.33822839  0.48593575 -0.40979888]
 [ 0.          0.          0.          1.        ]]"
single_object,90,13,12,11,30,0.9106739844070578,0.85548317603611,0.001934621884128825,0.0017832191143531872,"[[ 0.43349835 -0.55378305 -0.71091737 -0.03867723]
 [ 0.7898723   0.61325874  0.00393301  0.06362002]
 [ 0.43379826 -0.56323889  0.70326455 -0.40723706]
 [ 0.          0.          0.          1.        ]]","[[ 0.66458764 -0.05181181 -0.74541183 -0.03887369]
 [ 0.36091984  0.8957591   0.25952361  0.06339163]
 [ 0.65426304 -0.44151011  0.61401034 -0.40720474]
 [ 0.          0.          0.          1.        ]]"
single_object,90,14,12,20,30,0.8847455888387361,0.9763284776364383,0.002160493603716852,0.0019733144265963055,"[[-0.33793846 -0.91965285  0.20009056 -0.0371866 ]
 [ 0.59611071 -0.37366641 -0.71065142  0.06521501]
 [ 0.72831972 -0.12088032  0.67449116 -0.40631417]
 [ 0.          0.          0.          1.        ]]","[[-0.45478241 -0.85106035 -0.26242949 -0.03822499]
 [ 0.42039242  0.05463105 -0.90569623  0.06260797]
 [ 0.78513895 -0.52221808  0.33293408 -0.40481076]
 [ 0.          0.          0.          1.        ]]"
single_object,90,15,12,6,30,0.7789546573656134,0.8641003282724662,0.0026705172804175575,0.0018056601693728785,"[[ 0.57713322 -0.40323524 -0.71015392 -0.03326341]
 [ 0.51770868  0.85318134 -0.06371281  0.06437822]
 [ 0.63158132 -0.33088207  0.70115768 -0.39951817]
 [ 0.          0.          0.          1.        ]]","[[ 0.4552294   0.5073161  -0.73170798 -0.04091097]
 [ 0.47807545  0.55401618  0.68154966  0.06391519]
 [ 0.75113917 -0.66007307  0.00966908 -0.40181831]
 [ 0.          0.          0.          1.        ]]"
single_object,90,16,12,20,30,0.904749692244563,0.8723071399261387,0.002205305901155151,0.0020346662242524487,"[[-0.15316214 -0.97975731  0.12890684 -0.02604212]
 [ 0.47713191 -0.18755266 -0.85858555  0.06563326]
 [ 0.86538229 -0.06999723  0.49619944 -0.39127944]
 [ 0.          0.          0.          1.        ]]","[[-0.04334341 -0.88671271 -0.46028461 -0.02895551]
 [ 0.28638783  0.43035524 -0.85602359  0.06579114]
 [ 0.95713289 -0.1689229   0.23529066 -0.39176832]
 [ 0.          0.          0.          1.        ]]"
single_object,90,17,12,15,30,0.7972148132950349,0.9300369306524415,0.002533287440244435,0.0018330850777133762,"[[-0.63963557 -0.68009418  0.35824327 -0.02780738]
 [ 0.36866343 -0.68037241 -0.63338824  0.07185694]
 [ 0.67450249 -0.27306646  0.68591625 -0.39352255]
 [ 0.          0.          0.          1.        ]]","[[-0.16706896 -0.98462603  0.05098569 -0.02819168]
 [ 0.31049193 -0.10162394 -0.94512821  0.06627072]
 [ 0.93577921 -0.14207094  0.32269665 -0.39517804]
 [ 0.          0.          0.          1.        ]]"
single_object,90,18,12,14,30,0.5140028723840788,0.8555857611817809,0.0025450135422320588,0.0019731794158804454,"[[-0.98806511 -0.14608605  0.04884884 -0.02862544]
 [ 0.15380847 -0.95293722  0.2612539   0.06616394]
 [ 0.00838433  0.26564923  0.96403329 -0.39616729]
 [ 0.          0.          0.          1.        ]]","[[-0.67855512 -0.14614914  0.71986345 -0.03183488]
 [-0.24948944 -0.87589184 -0.41299941  0.06907204]
 [ 0.69088203 -0.45984119  0.55787822 -0.39765281]
 [ 0.          0.          0.          1.        ]]"
single_object,90,19,12,9,30,0.9368075502667214,0.947168649979483,0.002386897311377204,0.0017917528388670262,"[[ 0.19169031 -0.32465396 -0.92620442 -0.03136152]
 [ 0.97128019  0.19828928  0.13151481  0.07227598]
 [ 0.14095961 -0.92481412  0.3533401  -0.40276724]
 [ 0.          0.          0.          1.        ]]","[[ 0.33796682 -0.44514683 -0.8292302  -0.03146967]
 [ 0.81529453  0.57864118  0.02166131  0.06912306]
 [ 0.47018428 -0.68338765  0.55848729 -0.40110652]
 [ 0.          0.          0.          1.        ]]"
