Setting,Pipeline,Scene,Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
Single Object,Deep-Learning,90,12.47265625,7.826002057933816,28.3359375,4.550849683645597,0.8585092374717891,0.104428567353591,0.8975957808653057,0.0714633452955833,0.002114277534571143,0.00032704829958588846,0.0016561422160329999,0.0001785087520965022
Single Object,Deep-Learning,91,9.606796116504855,6.869924018977318,28.57281553398058,3.564327163948331,0.7274274085597842,0.21944462096518855,0.7852040099836263,0.1856948333949899,0.0023027046440456016,0.00040736257673636855,0.0017343276077335225,0.00025084796389198506
Single Object,Deep-Learning,96,47.93493150684932,54.89827405128256,27.02054794520548,5.2875645828325,0.5820685813499802,0.17879830421984902,0.6620594115703707,0.16017998585019239,0.0025342882328658455,0.00034269871643867255,0.00225719087412331,0.00035484676243410296
Single Object,Deep-Learning,97,27.22528735632184,45.208424693011445,25.202298850574714,6.760245288604211,0.5498411613367767,0.17473568502477976,0.6777335125614308,0.2048320697591345,0.0025684208624233524,0.00030882701702139467,0.0021702486287602987,0.00033554129966067634
Single Object,Deep-Learning,98,25.58656330749354,35.626656860996526,25.912144702842376,6.748826979230329,0.4856220555307909,0.1675607227964452,0.5759643901130548,0.1916670869120605,0.002660381698657411,0.00033678057995507513,0.002287301616993966,0.00043025941359277255
Single Object,Deep-Learning,99,28.72047244094488,36.1453561733516,26.051181102362204,6.562058461161767,0.48117321246454897,0.18365008629193183,0.5362464286719933,0.18088539283214444,0.002522223699434052,0.00033873729474855784,0.002222802756801736,0.0003427747248973061
Single Object,Deep-Learning,TOTAL,26.343715846994535,39.50819033739088,26.578142076502733,6.055345508784782,0.5950421165837143,0.2153522432430247,0.6769272043482811,0.20969189071701863,0.0024825682960170807,0.00038256320985832705,0.0020951800050582493,0.00041329732724727
Single Object,Deep-Learning,Inter-Scene STD,,13.701352552866885,,1.3738842160503963,,0.1496063499921117,,0.1339632303438246,,0.0002024891825796996,,0.0002822066122141022
