Setting,Pipeline,Scene,Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
Single Object,Geometric-Only,90,40.90625,23.37417294332173,28.35546875,4.188992271418033,0.8111879319796368,0.13806260094355557,0.892207255655006,0.0811921713316214,0.0022357268414218514,0.00032836869211101254,0.0016516151705847817,0.0001738031380977368
Single Object,Geometric-Only,91,38.070422535211264,17.758593941607142,29.262910798122064,2.61281041787217,0.7234435714271954,0.1810231024669964,0.771809216673313,0.18336634048511394,0.002277930598993314,0.0003286613630103842,0.0017406277988938866,0.00020171822745676873
Single Object,Geometric-Only,96,110.18928571428572,94.54021859181209,27.87857142857143,4.705625181220254,0.5774279882154882,0.1458977437408461,0.6479315544689559,0.1679994335612129,0.002656135192896759,0.0003226496248273749,0.00225173251147422,0.0003407151055135826
Single Object,Geometric-Only,97,79.75227272727273,91.57796630641232,25.113636363636363,6.9705397283402215,0.6136345403207085,0.17600420048990628,0.6885341331448406,0.2059022944512859,0.002596186487162008,0.0002701740465712286,0.0021875732145492472,0.00035301144371114885
Single Object,Geometric-Only,98,81.11825192802057,75.89070003350571,25.709511568123393,6.763717410893782,0.5326852508795598,0.17657900950255445,0.5848857388674852,0.19298815698755478,0.0026772345665910923,0.0002843504887727815,0.0023146118860273854,0.0004275183762449756
Single Object,Geometric-Only,99,99.90697674418605,87.66960810108985,26.46124031007752,6.366898958417325,0.4965136971716658,0.16392180066989995,0.5380005569750071,0.18433385290384646,0.0025837857083612324,0.0002921684056317065,0.0022703343372281436,0.00033949357551006664
Single Object,Geometric-Only,TOTAL,77.26361655773421,79.85471279196845,26.784313725490197,5.978097545579653,0.6147885197193173,0.19441987386490941,0.6772881103230601,0.2098789175371763,0.0025335763379700864,0.0003431184181548121,0.0021093217892799924,0.0004162903679844481
Single Object,Geometric-Only,Inter-Scene STD,,29.815557584370666,,1.6212458318674614,,0.11981327594213925,,0.12919687476362834,,0.00019549721325033939,,0.000293376499642315
