Setting,Pipeline,Object,Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
Full Scene,Geometric-Only,9,28.77173913043478,8.607565367603831,27.206521739130434,4.8392580565603,0.3734077097564449,0.12359238983979769,0.5468221447755289,0.14829919874729786,0.0026878289878160015,0.00017910458121727323,0.002284872701849172,0.00016255665191817096
Full Scene,Geometric-Only,63,59.35227272727273,18.620863205004152,29.34090909090909,2.444258407790456,0.41534898180718915,0.16148236780906527,0.5659588767490068,0.21690342911996544,0.002547974170121782,0.00028238611462318977,0.0020959160505007574,0.00027208289454073477
Full Scene,Geometric-Only,64,36.23809523809524,9.092504347416153,29.357142857142858,2.4277001921564607,0.5842352034398985,0.16248659439079252,0.8005868764278584,0.15866480682303255,0.002435896645260292,0.00033917312947074566,0.001689679835929538,0.00033156018790682937
Full Scene,Geometric-Only,TOTAL,42.306306306306304,19.526889590104282,28.45945945945946,3.76885014038791,0.4299193614464024,0.1655078869994634,0.6024174201947357,0.20377989671986607,0.0025847281664446906,0.00027407112008895394,0.0020973669104650053,0.00032656114722756207
Full Scene,Geometric-Only,Inter-Object STD,,15.94354994762737,,1.2370020274734022,,0.1116018654648851,,0.1413111530008057,,0.00012622113322589086,,0.0003041345715741601
