Setting,Pipeline,Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
Full Scene,Geometric-Only,42.306306306306304,19.526889590104282,28.45945945945946,3.76885014038791,0.4299193614464024,0.1655078869994634,0.6024174201947357,0.20377989671986607,0.0025847281664446906,0.00027407112008895394,0.0020973669104650053,0.00032656114722756207
Full Scene,Deep-Learning,10.964376590330788,12.046919902990476,28.439086294416242,4.349559970451572,0.40207134084141727,0.19982495117485977,0.5599550352508924,0.19257060880110335,0.0025740231435962815,0.00032754808353724666,0.002009229991106058,0.0003042368909414717
Single Object,Geometric-Only,105.14329004329004,64.47698623879124,27.865367965367966,4.713402903233159,0.5041968243729427,0.17016695611404908,0.6317192588786676,0.18223172560736786,0.002520198490339018,0.00026904037513294143,0.002045055217945929,0.00026089956384710495
Single Object,Deep-Learning,35.042008691453404,31.393123229588628,27.273297923708352,5.435494074453656,0.5204252980540591,0.18750587742601715,0.6405853738813809,0.194449391091453,0.0024533789817861554,0.0002760735125806074,0.0020209122672861877,0.00025057056856323825
