Scene,Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
7-scenes-redkitchen,36.88676996424314,13.399563140762146,30.0,0.0,0.4684552072118071,0.1545614345532684,0.5275589770984082,0.1685417340926289,0.023477331264522797,0.001801669559287578,0.02201522178529984,0.002273361636859992
sun3d-home_at-home_at_scan1_2013_jan_1,36.33776435045317,13.023051595946125,30.0,0.0,0.3922632358227238,0.12284696196328225,0.43691632080081527,0.13084666991262867,0.02379382117946524,0.0015563290176183143,0.022588925521768125,0.001924844078785071
sun3d-home_md-home_md_scan9_2012_sep_30,43.44739952718676,30.802611870158135,29.98936170212766,0.43759497449368395,0.4539963158111429,0.20619777688363072,0.4995798256514272,0.21807242213811462,0.023132948669521574,0.001976596940775399,0.02190879633927217,0.0023531522510095125
sun3d-hotel_uc-scan3,36.332394366197185,15.45411061124076,29.999295774647887,0.02653724462171377,0.41081805330867405,0.115222495528496,0.45696719311036993,0.12688529786162758,0.0234305577586846,0.0016285450698149246,0.02215570825127479,0.002004631273597211
sun3d-hotel_umd-maryland_hotel1,43.23629242819843,19.99602282697222,30.0,0.0,0.5148473875944785,0.13175548563618297,0.5714393397341818,0.14499998283555798,0.022958065570173217,0.0016551538029891705,0.02141363187336866,0.002308294098831858
sun3d-hotel_umd-maryland_hotel3,40.950715421303656,16.020760425608593,30.0,0.0,0.523954689520759,0.13089497583072254,0.5817402102807093,0.13963844422045144,0.02258253089439784,0.002042556980623831,0.020756881287544583,0.0026824113741768037
sun3d-mit_76_studyroom-76-1studyroom2,29.884747425208435,8.349220187855945,30.0,0.0,0.4154555721470943,0.1124468012312014,0.46586829194377377,0.12176393236357115,0.023221332244051963,0.0020859411876081755,0.021622273528358514,0.0027819112503279946
sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika,31.33179012345679,9.397759041261637,30.0,0.0,0.4289906110109045,0.10559275362805566,0.4886422779953093,0.11931662392676216,0.022789517026951495,0.002431678212191511,0.02082776406068656,0.003153680121324735
TOTAL,37.224298237846455,18.25277809823854,29.998317541840077,0.1696425868412406,0.44542640751661033,0.14782062126033155,0.49680583174258985,0.15968412381684582,0.023260262901373858,0.0018943455681116386,0.021810233969063342,0.002447475312800004
Inter-Scene STD,,5.056766628231567,,0.0037337784544812904,,0.04858700207532762,,0.052870473660521236,,0.0003946466376261623,,0.0006399845369142069
