Setting,Pipeline,Object,Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
Full Scene,Deep-Learning,9,4.704,3.215446590163417,27.576,5.204315826869697,0.31842348839968243,0.13137821169030353,0.5152288275572563,0.1568822785484823,0.0027085327322240683,0.00020397559093524457,0.0022001567840969545,0.00019445502582980773
Full Scene,Deep-Learning,63,14.633663366336634,9.816030534057264,28.900990099009903,3.785511723651241,0.39811143188943177,0.13746999223969247,0.5078104021967235,0.17112366083014946,0.0024717728489287117,0.00026196368306656906,0.0019497222060993408,0.0001989378617972249
Full Scene,Deep-Learning,64,13.431137724550899,15.262627002106086,28.803571428571427,3.87415654884096,0.46668998583765164,0.2457388419657771,0.6245823203709852,0.21003569753913284,0.0025354135077805145,0.00039890890816483295,0.0019029468789740118,0.00035391455812981763
Full Scene,Deep-Learning,TOTAL,10.964376590330788,12.046919902990476,28.439086294416242,4.349559970451572,0.40207134084141727,0.19982495117485977,0.5599550352508924,0.19257060880110335,0.0025740231435962815,0.00032754808353724666,0.002009229991106058,0.0003042368909414717
Full Scene,Deep-Learning,Inter-Object STD,,5.419212971013402,,0.7384692243721879,,0.07420258380696469,,0.06538208253475426,,0.0001225259439663426,,0.00015981193988962616
