Scene,Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
7-scenes-redkitchen,19.20679012345679,75.9066625647179,30.0,0.0,0.6032966724736054,0.16294800852483712,0.65623340992568,0.16326983311346124,0.02181797383700538,0.002779737515337204,0.019926575362917733,0.0032835205707309146
sun3d-home_at-home_at_scan1_2013_jan_1,22.85780885780886,132.18097168250787,30.0,0.0,0.4529575500985636,0.17339905275354672,0.49048133074588685,0.17849368306700736,0.02245414984000147,0.002508401035469642,0.02114595269241328,0.0027881786688504677
sun3d-home_md-home_md_scan9_2012_sep_30,29.64987714987715,119.7542312600179,29.98910411622276,0.2332950714412836,0.46166106853169814,0.25153758030188944,0.49920231020503386,0.26196242063245023,0.02242690974434301,0.002499241340562062,0.021093427184653894,0.002756730778661869
sun3d-hotel_uc-scan3,19.926345609065155,89.85154188553844,30.0,0.0,0.5013889859139495,0.16802974369439946,0.5415275327883279,0.17286503010522009,0.021975698590979614,0.002600737098627014,0.020379018998842806,0.003111668717958128
sun3d-hotel_umd-maryland_hotel1,9.133466135458168,30.308458798646722,30.0,0.0,0.5365674480930727,0.13494933197387018,0.5892839184603416,0.14279122811510112,0.022448671306415962,0.00216942002275923,0.020869127584066033,0.002655398856666499
sun3d-hotel_umd-maryland_hotel3,7.428571428571429,17.20916178609506,30.0,0.0,0.5470910083278808,0.1190009254194416,0.6047687438614243,0.1267731986182801,0.022355846017933945,0.0021957255117375507,0.020619818397690875,0.0027105166225249028
sun3d-mit_76_studyroom-76-1studyroom2,12.910969793322735,63.231107786991274,30.0,0.0,0.4889951532090232,0.14944142943599945,0.5338535272766052,0.15069747130861996,0.021278678511256095,0.0029208770663674754,0.019040948337674286,0.00310619370983083
sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika,46.904458598726116,285.4939127949169,29.98235294117647,0.23008949665421144,0.5223755128268746,0.14723560984886644,0.5755486891588214,0.14450896621127327,0.021157042623040374,0.0030581089082730964,0.01915175309617616,0.00342943040412714
TOTAL,20.12765385649019,106.6522467250824,29.996874185985934,0.11857510184015058,0.510279852173099,0.1868561291888638,0.5556889301354799,0.1937579981546676,0.02202586581205083,0.002650593959307517,0.020334559088911214,0.003070363690040123
Inter-Scene STD,,12.78454315890317,,0.0068483733404305965,,0.04913173742668657,,0.055938287402529846,,0.0005318617564820721,,0.0008295409372108804
