Setting,Pipeline,Scene,Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
Full Scene,Geometric-Only,90,34.2262443438914,20.98340120870493,28.402714932126695,4.247543873731739,0.6541597116104105,0.19499011788276296,0.8831769876916392,0.12119548751566063,0.0024192296327724423,0.00039704922499269013,0.0017163218930699993,0.0002688326465750736
Full Scene,Geometric-Only,91,34.31137724550898,23.991691380990297,28.54491017964072,3.8334397193962952,0.5799287248236397,0.20005015120296288,0.8102171733676676,0.15526139399639222,0.0024454244732270993,0.0004058791696582528,0.0017815095769837292,0.0003283756316346271
Full Scene,Geometric-Only,96,63.5,31.81980515339464,22.0,11.313708498984761,0.44826513537092916,0.08224582585562716,0.4539860409902888,0.13284230501402905,0.0026870325061155113,0.0003370927384404953,0.0024732479114622846,0.00025818647915152665
Full Scene,Geometric-Only,97,61.370370370370374,18.313820229433603,28.85185185185185,2.4290502053858205,0.47647002538029404,0.14591609321640592,0.6461346824315752,0.1654838720815615,0.0026077782985115343,0.00032487915343105777,0.002045341089558177,0.00036083509924972443
Full Scene,Geometric-Only,98,57.57142857142857,26.055308880900277,23.357142857142858,6.499788669430166,0.4627388889418756,0.15243442653950143,0.6084570637174904,0.16663004001904985,0.002632697693375578,0.0005442728265219384,0.0021931959290153744,0.00035289314698533207
Full Scene,Geometric-Only,99,43.833333333333336,22.868464457996883,25.166666666666668,8.256310717667224,0.4750155545169556,0.059636534694766756,0.5131832328447492,0.07674990578433862,0.0025296905108671045,0.00012323391844150565,0.0022125533929011885,9.016850857783503e-05
Full Scene,Geometric-Only,TOTAL,36.94965675057208,23.46874226314695,28.24942791762014,4.304843750688597,0.6052792952854607,0.1998111715897859,0.8248043227208222,0.16252405195234157,0.002450470539396198,0.0004015920868046245,0.0017871167192891769,0.00032538037788646263
Full Scene,Geometric-Only,Inter-Scene STD,,13.396636108385197,,2.9679752407632214,,0.0822703270733773,,0.16666362917474306,,0.0001070747028848654,,0.00028531729339219275
