Setting,Pipeline,Rank,Object,Recall (%),Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
Full Scene,Deep Learning,Top 1,49,18.45703125,,,,,,,,,,,,
Full Scene,Deep Learning,Top 2,71,2.734375,,,,,,,,,,,,
Full Scene,Deep Learning,Top 3,62,1.3671875,,,,,,,,,,,,
Full Scene,Deep Learning,Bottom 3,49,18.45703125,,,,,,,,,,,,
Full Scene,Deep Learning,Bottom 2,71,2.734375,,,,,,,,,,,,
Full Scene,Deep Learning,Bottom 1,62,1.3671875,,,,,,,,,,,,
Full Scene,Geometric-Only,Top 1,71,27.9296875,117.55944055944056,51.93540149172798,27.353146853146853,5.236622779305804,0.4673491108850225,0.15831563820126096,0.7496460854471904,0.14847315678808595,0.002814735546002995,0.0001877395989785722,0.0023447548291879758,0.0002619503072582089
Full Scene,Geometric-Only,Top 2,49,7.91015625,33.629629629629626,8.683957111312278,29.098765432098766,2.487995871537998,0.30241718836733666,0.07459599561349793,0.37465232323772035,0.07842756253554667,0.0029732743805225607,0.00016873937649382345,0.0027877886546785638,0.00016738777084855043
Full Scene,Geometric-Only,Top 3,62,3.41796875,50.885714285714286,31.063285903014787,29.685714285714287,1.8593393604027366,0.455024645168953,0.14000468235583105,0.6245581261187889,0.14708877050832417,0.0026080057324965587,0.0002852980215862508,0.002128598270554142,0.0002625732076517181
Full Scene,Geometric-Only,Bottom 3,71,27.9296875,117.55944055944056,51.93540149172798,27.353146853146853,5.236622779305804,0.4673491108850225,0.15831563820126096,0.7496460854471904,0.14847315678808595,0.002814735546002995,0.0001877395989785722,0.0023447548291879758,0.0002619503072582089
Full Scene,Geometric-Only,Bottom 2,49,7.91015625,33.629629629629626,8.683957111312278,29.098765432098766,2.487995871537998,0.30241718836733666,0.07459599561349793,0.37465232323772035,0.07842756253554667,0.0029732743805225607,0.00016873937649382345,0.0027877886546785638,0.00016738777084855043
Full Scene,Geometric-Only,Bottom 1,62,3.41796875,50.885714285714286,31.063285903014787,29.685714285714287,1.8593393604027366,0.455024645168953,0.14000468235583105,0.6245581261187889,0.14708877050832417,0.0026080057324965587,0.0002852980215862508,0.002128598270554142,0.0002625732076517181
Single Object,Deep Learning,Top 1,71,93.1640625,,,,,,,,,,,,
Single Object,Deep Learning,Top 2,49,92.1875,,,,,,,,,,,,
Single Object,Deep Learning,Top 3,62,81.640625,,,,,,,,,,,,
Single Object,Deep Learning,Bottom 3,71,93.1640625,,,,,,,,,,,,
Single Object,Deep Learning,Bottom 2,49,92.1875,,,,,,,,,,,,
Single Object,Deep Learning,Bottom 1,62,81.640625,,,,,,,,,,,,
Single Object,Geometric-Only,Top 1,71,94.3359375,212.6304347826087,116.53982425562072,25.556935817805382,6.866481517115728,0.6697479220867801,0.1530425068655485,0.7648938473263879,0.12093552635307808,0.0026353807178693734,0.00023927551005337394,0.002229245027231611,0.00023137635524910478
Single Object,Geometric-Only,Top 2,49,89.84375,161.0141304347826,62.16486921423205,24.71195652173913,7.067271073997605,0.449542018974993,0.13530415037856355,0.5626023424603246,0.212620189460793,0.002740894083673592,0.0001754466365298287,0.0023643081008579646,0.0003242312672544232
Single Object,Geometric-Only,Top 3,62,80.2734375,68.48905109489051,39.328923094719016,29.66301703163017,1.9654927254482426,0.43025276307216953,0.1361567623385444,0.5374013864524033,0.1448157636875351,0.0026678103380836605,0.00023585644732153322,0.002271938152134103,0.00024075992905703313
Single Object,Geometric-Only,Bottom 3,71,94.3359375,212.6304347826087,116.53982425562072,25.556935817805382,6.866481517115728,0.6697479220867801,0.1530425068655485,0.7648938473263879,0.12093552635307808,0.0026353807178693734,0.00023927551005337394,0.002229245027231611,0.00023137635524910478
Single Object,Geometric-Only,Bottom 2,49,89.84375,161.0141304347826,62.16486921423205,24.71195652173913,7.067271073997605,0.449542018974993,0.13530415037856355,0.5626023424603246,0.212620189460793,0.002740894083673592,0.0001754466365298287,0.0023643081008579646,0.0003242312672544232
Single Object,Geometric-Only,Bottom 1,62,80.2734375,68.48905109489051,39.328923094719016,29.66301703163017,1.9654927254482426,0.43025276307216953,0.1361567623385444,0.5374013864524033,0.1448157636875351,0.0026678103380836605,0.00023585644732153322,0.002271938152134103,0.00024075992905703313
