Setting,Pipeline,Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
Full Scene,Geometric-Only,94.84328358208955,57.51060027771768,27.907960199004975,4.668992139574605,0.4330435337109056,0.15784097758982554,0.663196898095297,0.20250207218925237,0.0028286810736730442,0.00021504475919334652,0.002415203237925671,0.00031456949031113306
Full Scene,Deep-Learning,10.371287128712872,7.621163831837194,26.3982683982684,6.105364464910206,0.340249206882358,0.1539993304969555,0.46858487887735056,0.15187245212520362,0.002701786319586249,0.0004107183468755397,0.0024271713534624153,0.0002659184759843759
Single Object,Geometric-Only,151.34121122599706,100.39606590065775,26.516248153618907,6.275131521477161,0.5222388927024176,0.17977048960309808,0.6271143099130964,0.1937890087038464,0.0026810710592120707,0.00022303744224198821,0.0022880898486518815,0.0002750326311743264
Single Object,Deep-Learning,35.66984592809978,24.053633970498705,24.386613021214337,7.773653752182935,0.5655901843902207,0.1864907648130802,0.6645232995113189,0.18390628437034212,0.0025810114203032534,0.00024638532785432415,0.0022242216358817728,0.0002514407788922406
