Scene,Mean RANSAC Iterations,STD RANSAC Iterations,Mean ICP Iterations,STD ICP Iterations,RANSAC: Mean Fitness,RANSAC: STD Fitness,ICP: Mean Fitness,ICP: STD Fitness,RANSAC: Mean Inlier RMSE,RANSAC: STD Inlier RMSE,ICP: Mean Inlier RMSE,ICP: STD Inlier RMSE
7-scenes-redkitchen,71.70588235294117,56.59921013791,16.647058823529413,6.698331662348732,0.513218169618555,0.19996215267213194,0.51374452543389,0.19561573216494715,0.018049225438790912,0.002813005970264608,0.014944316439742622,0.0023322884325945054
sun3d-home_at-home_at_scan1_2013_jan_1,54.75,36.347397889440906,16.0625,8.322409506867588,0.6049998642897939,0.1624184383479993,0.6044406495585926,0.16048495285967238,0.017145788407165533,0.00269429339059979,0.01408502105744762,0.0035268314483470438
sun3d-home_md-home_md_scan9_2012_sep_30,58.5,68.22707185079346,15.875,6.7712628068920795,0.4521139108962365,0.19846385714809653,0.45273444182068295,0.19266126149399257,0.020100183249374532,0.0032044158992845843,0.016540391437697453,0.0029361008778702267
sun3d-hotel_uc-scan3,78.33333333333333,45.086844305315545,16.11111111111111,6.057459076008384,0.575237070787775,0.1674337476598987,0.5787942743569602,0.16401386849079322,0.017538964176370374,0.0032934228232384265,0.014339195617987716,0.0027502033509407336
sun3d-hotel_umd-maryland_hotel1,69.38888888888889,47.065834853506175,16.444444444444443,6.089742795903734,0.5315586511010622,0.18903402462262117,0.5314909545066997,0.18969397875483154,0.016814907255492388,0.0025001994104613123,0.013585726116027859,0.002465113899699609
sun3d-hotel_umd-maryland_hotel3,31.736842105263158,14.317208392013816,17.05263157894737,7.291347110792248,0.5984462943116987,0.20160672639222418,0.6031578442595599,0.195025638457006,0.015080901928145797,0.0027994463613523982,0.011819249378701106,0.002034643604439063
sun3d-mit_76_studyroom-76-1studyroom2,60.25,36.861000167295146,22.6875,7.364045536705125,0.5386804619641312,0.19535288462289443,0.5403315420032051,0.1946174754010761,0.01670996614141303,0.0027438248093321787,0.013404124800371679,0.001476581217450983
sun3d-mit_lab_hj-lab_hj_tea_nov_2_2012_scan1_erika,101.4,76.47950238929569,19.6,6.957010852370434,0.6080727341508063,0.18135535949606452,0.6150877601808432,0.18500597592612372,0.018445792200881213,0.0034871613720124962,0.01571848559306375,0.0026917035661105887
TOTAL,65.75811833505331,52.333384035213264,17.560030744754044,7.118261848323193,0.5527908946400073,0.1895211530480784,0.5549727490150542,0.1875511440023087,0.017485716099704222,0.0031880568012356038,0.014304563805129976,0.002865301643461771
Inter-Scene STD,,20.137682188371276,,2.3895371640517564,,0.054408340657598565,,0.055893206485622446,,0.0014652165743771943,,0.0014619501487368037
